29
LEVEL,BOOST_VALUE,BOOST_TYPE
1,0.05,BASE_STAT
2,0.05,BASE_STAT
3,0.05,COOL_DOWN
4,0.1,BASE_STAT
5,0.05,BASE_STAT
6,0.1,BASE_STAT
7,0.05,BASE_STAT
8,0.1,BASE_STAT
9,0.05,BASE_STAT
10,0.1,BASE_STAT
11,1,RANGE
12,0.1,BASE_STAT
13,0.05,BASE_STAT
14,0.05,BASE_STAT
15,0.05,COOL_DOWN
16,0.05,BASE_STAT
17,0.05,BASE_STAT
18,0.05,BASE_STAT
19,0.05,BASE_STAT
20,2,RANGE
21,0.05,BASE_STAT
22,0.05,BASE_STAT
23,0.05,BASE_STAT
24,0.05,BASE_STAT
25,0.05,COOL_DOWN
26,0.1,COOL_DOWN
27,0.05,COOL_DOWN
28,0.05,COOL_DOWN
29,0.05,COOL_DOWN
