27
LEVEL,BOOST_VALUE,BOOST_TYPE
1,5,BASE_STAT
2,0.05,FROST_DAMAGE
3,5,BASE_STAT
4,0.05,FROST_DAMAGE
5,0.05,BASE_STAT
6,0.1,BASE_STAT
7,0.2,BASE_STAT
8,0.3,CRITICAL_HIT_DAMAGE
9,0.1,BASE_STAT
10,0.05,FROST_DAMAGE
11,0.05,BASE_STAT
12,0.02,BASE_STAT
13,0.05,BASE_STAT
14,0.05,FROST_DAMAGE
15,0.05,BASE_STAT
16,1,RANGE
17,0.1,BASE_STAT
18,0.02,BASE_STAT
19,0.05,BASE_STAT
20,0.05,FROST_DAMAGE
21,0.05,BASE_STAT
22,2,RANGE
23,0.05,BASE_STAT
24,0.02,BASE_STAT
25,0.05,BASE_STAT
26,0.05,FROST_DAMAGE
27,0.05,BASE_STAT
