33
LEVEL,BOOST_VALUE,BOOST_TYPE
1,0.05,PROJECTILE_SPEED
2,0.05,BASE_STAT
3,0.05,DURATION
4,0.05,BASE_STAT
5,0.05,PROJECTILE_SPEED
6,0.05,DURATION
7,0.05,BASE_STAT
8,0.05,DURATION
9,0.05,BASE_STAT
10,0.05,PROJECTILE_SPEED
11,0.05,BASE_STAT
12,0.05,HEALING_REDUCTION
13,0.05,DURATION
14,0.05,BASE_STAT
15,0.05,PROJECTILE_SPEED
16,1,RANGE
17,0.05,HEALING_REDUCTION
18,0.05,DURATION
19,0.05,BASE_STAT
20,0.05,BASE_STAT
21,0.05,HEALING_REDUCTION
22,0.05,BASE_STAT
23,0.05,DURATION
24,0.05,PROJECTILE_SPEED
25,0.05,HEALING_REDUCTION
26,2,RANGE
27,0.05,BASE_STAT
28,0.05,HEALING_REDUCTION
29,0.05,DURATION
30,0.05,PROJECTILE_SPEED
31,0.02,BASE_STAT
32,0.05,HEALING_REDUCTION
33,0.05,BASE_STAT
