31
LEVEL,BOOST_VALUE,BOOST_TYPE
1,5,BASE_STAT
2,3,RANGE
3,10,BASE_STAT
4,0.1,PROJECTILE_SPEED
5,0.05,FIRE_DAMAGE
6,0.05,BASE_STAT
7,0.02,BASE_STAT
8,0.05,BASE_STAT
9,0.05,RANGE
10,0.05,FIRE_DAMAGE
11,0.05,BASE_STAT
12,0.1,PROJECTILE_SPEED
13,0.1,BASE_STAT
14,0.05,FIRE_DAMAGE
15,0.05,BASE_STAT
16,0.02,BASE_STAT
17,0.05,BASE_STAT
18,0.05,RANGE
19,0.02,BASE_STAT
20,0.1,PROJECTILE_SPEED
21,0.02,BASE_STAT
22,0.1,BASE_STAT
23,0.02,BASE_STAT
24,0.1,FIRE_DAMAGE
25,0.02,BASE_STAT
26,10,BASE_STAT
27,0.02,BASE_STAT
28,0.1,BASE_STAT
29,0.05,BASE_STAT
30,0.1,PROJECTILE_SPEED
31,0.1,BASE_STAT
