30
LEVEL,BOOST_VALUE,BOOST_TYPE
1,5,BASE_STAT
2,0.05,FIRE_DAMAGE
3,3,RANGE
4,10,BASE_STAT
5,0.1,PROJECTILE_SPEED
6,0.05,BASE_STAT
7,0.05,BASE_STAT
8,0.05,CRITICAL_HIT_CHANCE
9,0.05,BASE_STAT
10,0.05,BASE_STAT
11,0.05,FIRE_DAMAGE
12,0.05,CRITICAL_HIT_CHANCE
13,0.03,RANGE
14,0.25,CRITICAL_HIT_DAMAGE
15,0.1,PROJECTILE_SPEED
16,0.25,CRITICAL_HIT_DAMAGE
17,0.05,FIRE_DAMAGE
18,0.03,RANGE
19,0.02,BASE_STAT
20,0.05,FIRE_DAMAGE
21,0.02,BASE_STAT
22,0.1,PROJECTILE_SPEED
23,0.1,BASE_STAT
24,0.05,RANGE
25,0.1,BASE_STAT
26,0.05,BASE_STAT
27,0.05,FIRE_DAMAGE
28,0.05,BASE_STAT
29,0.1,PROJECTILE_SPEED
30,0.05,BASE_STAT
